#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AADACL2	SUCNR1	9606.ENSP00000348911	9606.ENSP00000355156	0	0	0	0	0.054	0	0	0.714	0.718
ABCD2	ACSL4	9606.ENSP00000310688	9606.ENSP00000339787	0	0	0	0	0.161	0.144	0	0.285	0.441
ABCD2	PDE1A	9606.ENSP00000310688	9606.ENSP00000410309	0	0	0	0	0.076	0	0	0.425	0.445
ABCD2	PEX2	9606.ENSP00000310688	9606.ENSP00000349543	0	0	0	0	0.093	0	0.900	0.257	0.926
ABCD2	ATAD1	9606.ENSP00000310688	9606.ENSP00000339017	0	0	0	0	0.064	0	0.900	0.416	0.940
ABI1	ACTR3	9606.ENSP00000365312	9606.ENSP00000263238	0	0	0	0	0.139	0.159	0.900	0.454	0.955
ABI1	FNBP1L	9606.ENSP00000365312	9606.ENSP00000271234	0	0	0	0	0.062	0.210	0	0.627	0.699
ABI1	EPS8	9606.ENSP00000365312	9606.ENSP00000281172	0	0	0	0	0	0.880	0.900	0.992	0.999
ABI1	PPP2R5E	9606.ENSP00000365312	9606.ENSP00000337641	0	0	0	0	0.099	0	0	0.514	0.543
ABI1	SNX16	9606.ENSP00000365312	9606.ENSP00000379621	0	0	0	0	0.062	0	0	0.414	0.426
ABI1	NCK1	9606.ENSP00000365312	9606.ENSP00000417273	0	0	0	0	0.118	0.559	0.600	0.546	0.920
ABI1	PIK3R1	9606.ENSP00000365312	9606.ENSP00000428056	0	0	0	0	0	0.239	0.900	0.123	0.927
ABI1	SOS1	9606.ENSP00000365312	9606.ENSP00000387784	0	0	0	0	0.062	0.497	0.900	0.992	0.999
ACAP2	AKAP11	9606.ENSP00000324287	9606.ENSP00000025301	0	0	0	0	0.450	0	0	0	0.450
ACAP2	RAPGEF6	9606.ENSP00000324287	9606.ENSP00000296859	0	0	0	0	0.447	0.058	0	0	0.456
ACAP2	YAF2	9606.ENSP00000324287	9606.ENSP00000328004	0	0	0	0	0	0	0	0.512	0.512
ACSL4	CANX	9606.ENSP00000339787	9606.ENSP00000247461	0	0	0	0	0.063	0.102	0	0.443	0.490
ACSL4	SLC7A11	9606.ENSP00000339787	9606.ENSP00000280612	0	0	0	0	0	0	0	0.499	0.499
ACSL4	AGPAT5	9606.ENSP00000339787	9606.ENSP00000285518	0.051	0	0	0	0.057	0.058	0	0.424	0.450
ACSL4	ABCD2	9606.ENSP00000339787	9606.ENSP00000310688	0	0	0	0	0.161	0.144	0	0.285	0.441
ACTR3	RAP1B	9606.ENSP00000263238	9606.ENSP00000250559	0	0	0	0	0.572	0.104	0	0.164	0.651
ACTR3	CAPZA1	9606.ENSP00000263238	9606.ENSP00000263168	0	0	0	0	0.639	0.243	0	0.304	0.793
ACTR3	KIAA1033	9606.ENSP00000263238	9606.ENSP00000484713	0	0	0	0	0.232	0	0	0.252	0.401
ACTR3	HDAC2	9606.ENSP00000263238	9606.ENSP00000430432	0	0	0	0	0.332	0.142	0	0.048	0.407
ACTR3	CEP97	9606.ENSP00000263238	9606.ENSP00000342510	0	0	0	0	0.052	0.331	0	0.149	0.414
ACTR3	MYSM1	9606.ENSP00000263238	9606.ENSP00000418734	0	0	0	0	0.062	0.365	0	0.098	0.415
ACTR3	CALM2	9606.ENSP00000263238	9606.ENSP00000272298	0	0	0	0	0.305	0.153	0	0.138	0.448
ACTR3	PPP1R12A	9606.ENSP00000263238	9606.ENSP00000389168	0	0	0	0	0.353	0.185	0	0.159	0.518
ACTR3	PLS3	9606.ENSP00000263238	9606.ENSP00000348163	0	0	0	0	0.108	0.160	0	0.467	0.566
ACTR3	MCTS1	9606.ENSP00000263238	9606.ENSP00000360365	0	0	0	0	0.634	0	0	0	0.634
ACTR3	LRRK2	9606.ENSP00000263238	9606.ENSP00000298910	0	0	0	0	0.062	0.617	0	0.072	0.638
ACTR3	EPS8	9606.ENSP00000263238	9606.ENSP00000281172	0	0	0	0	0	0.056	0	0.635	0.641
ACTR3	SEPT7	9606.ENSP00000263238	9606.ENSP00000381992	0	0	0	0	0.689	0.064	0	0.108	0.718
ACTR3	TRIP12	9606.ENSP00000263238	9606.ENSP00000373696	0	0	0	0	0.770	0.070	0	0.286	0.833
ACTR3	NCK1	9606.ENSP00000263238	9606.ENSP00000417273	0	0	0	0	0.105	0	0.900	0.406	0.942
ACTR3	ABI1	9606.ENSP00000263238	9606.ENSP00000365312	0	0	0	0	0.139	0.159	0.900	0.454	0.955
ACVR1C	ACVR2A	9606.ENSP00000243349	9606.ENSP00000241416	0	0	0	0.799	0.073	0.348	0.800	0.856	0.891
ACVR1C	BMP5	9606.ENSP00000243349	9606.ENSP00000359866	0	0	0	0	0	0.259	0	0.360	0.506
ACVR1C	TGFBR1	9606.ENSP00000243349	9606.ENSP00000364133	0	0	0	0.969	0	0	0.540	0.786	0.551
ACVR1C	MSTN	9606.ENSP00000243349	9606.ENSP00000260950	0	0	0	0	0.062	0.159	0	0.608	0.664
ACVR1C	SMAD5	9606.ENSP00000243349	9606.ENSP00000441954	0	0	0	0	0.062	0.260	0	0.585	0.687
ACVR2A	CACNB4	9606.ENSP00000241416	9606.ENSP00000438949	0	0	0	0	0	0	0	0.547	0.547
ACVR2A	ACVR1C	9606.ENSP00000241416	9606.ENSP00000243349	0	0	0	0.799	0.073	0.348	0.800	0.856	0.891
ACVR2A	TGFBR1	9606.ENSP00000241416	9606.ENSP00000364133	0	0	0	0.790	0.073	0.348	0.800	0.925	0.894
ACVR2A	BMPR1B	9606.ENSP00000241416	9606.ENSP00000401907	0	0	0	0.789	0.096	0.348	0.800	0.881	0.895
ACVR2A	BMP5	9606.ENSP00000241416	9606.ENSP00000359866	0	0	0	0	0	0.150	0.800	0.534	0.914
ACVR2A	SMAD5	9606.ENSP00000241416	9606.ENSP00000441954	0	0	0	0	0.086	0.213	0.900	0.659	0.972
ACVR2A	MSTN	9606.ENSP00000241416	9606.ENSP00000260950	0	0	0	0	0.062	0.150	0	0.990	0.991
ADAM10	CCNG1	9606.ENSP00000260408	9606.ENSP00000344635	0	0	0	0	0.062	0	0	0.395	0.408
ADAM10	NRAS	9606.ENSP00000260408	9606.ENSP00000358548	0	0	0	0	0.063	0.065	0	0.411	0.438
ADAM10	ERBB4	9606.ENSP00000260408	9606.ENSP00000342235	0	0	0	0	0	0	0	0.441	0.441
ADAM10	MAD2L1	9606.ENSP00000260408	9606.ENSP00000296509	0	0	0	0	0	0.270	0	0.412	0.552
ADAM10	IDE	9606.ENSP00000260408	9606.ENSP00000265986	0	0	0	0	0.062	0	0	0.593	0.602
ADAM10	EPHA5	9606.ENSP00000260408	9606.ENSP00000480763	0	0	0	0	0.061	0	0.600	0.210	0.677
ADAM10	EPHA7	9606.ENSP00000260408	9606.ENSP00000358309	0	0	0	0	0.061	0	0.600	0.210	0.677
ADAM10	DLG1	9606.ENSP00000260408	9606.ENSP00000345731	0	0	0	0	0.100	0.414	0	0.989	0.993
ADAT2	TTC26	9606.ENSP00000237283	9606.ENSP00000419279	0	0	0	0	0	0	0	0.621	0.621
ADAT2	TRMT11	9606.ENSP00000237283	9606.ENSP00000333934	0	0	0	0	0.117	0	0	0.664	0.691
ADAT2	MDM2	9606.ENSP00000237283	9606.ENSP00000258149	0	0	0	0	0	0	0	0.800	0.800
AEBP2	PGM2L1	9606.ENSP00000381840	9606.ENSP00000298198	0	0	0	0	0	0.056	0	0.447	0.456
AEBP2	YAF2	9606.ENSP00000381840	9606.ENSP00000328004	0	0	0	0	0.062	0.057	0	0.587	0.603
AEBP2	ARHGAP12	9606.ENSP00000381840	9606.ENSP00000345808	0	0	0	0	0	0.062	0	0.513	0.523
AEBP2	MTF2	9606.ENSP00000381840	9606.ENSP00000359321	0	0	0	0	0.062	0	0.600	0.778	0.909
AEBP2	LCOR	9606.ENSP00000381840	9606.ENSP00000360138	0	0	0	0	0	0.056	0	0.519	0.526
AEBP2	LPP	9606.ENSP00000381840	9606.ENSP00000482472	0	0	0	0	0	0.059	0	0.549	0.557
AEBP2	PHC3	9606.ENSP00000381840	9606.ENSP00000420294	0	0	0	0	0.062	0.059	0.900	0.061	0.906
AEBP2	HDAC2	9606.ENSP00000381840	9606.ENSP00000430432	0	0	0	0	0	0.117	0.900	0.123	0.915
AEBP2	PCGF5	9606.ENSP00000381840	9606.ENSP00000445704	0	0	0	0	0	0.056	0.900	0.294	0.927
AGL	GALC	9606.ENSP00000294724	9606.ENSP00000261304	0	0	0	0	0	0	0	0.623	0.623
AGL	ZFX	9606.ENSP00000294724	9606.ENSP00000368475	0	0	0	0	0.062	0	0	0.444	0.456
AGL	SNX16	9606.ENSP00000294724	9606.ENSP00000379621	0	0	0	0	0.065	0	0	0.465	0.479
AGL	GPR180	9606.ENSP00000294724	9606.ENSP00000366157	0	0	0	0	0.062	0	0	0.607	0.616
AGL	SCN9A	9606.ENSP00000294724	9606.ENSP00000386306	0	0	0	0	0.053	0	0	0.818	0.820
AGL	PGM2L1	9606.ENSP00000294724	9606.ENSP00000298198	0	0	0	0	0.062	0	0.900	0.101	0.908
AGPAT5	ACSL4	9606.ENSP00000285518	9606.ENSP00000339787	0.051	0	0	0	0.057	0.058	0	0.424	0.450
AGPAT5	TMEM68	9606.ENSP00000285518	9606.ENSP00000395204	0	0	0	0	0	0	0	0.452	0.452
AGPAT5	PREPL	9606.ENSP00000285518	9606.ENSP00000386543	0	0	0	0	0	0	0	0.563	0.563
AGPAT5	ARHGAP28	9606.ENSP00000285518	9606.ENSP00000392660	0	0	0	0	0	0	0	0.568	0.568
AGPAT5	DGKB	9606.ENSP00000285518	9606.ENSP00000385780	0	0	0	0	0.051	0	0.650	0.235	0.723
AGPAT5	DGKH	9606.ENSP00000285518	9606.ENSP00000337572	0	0	0	0	0.061	0	0.650	0.291	0.746
AGPAT5	GPD2	9606.ENSP00000285518	9606.ENSP00000308610	0.041	0	0	0	0.066	0	0.800	0.297	0.857
AGPAT5	MBOAT2	9606.ENSP00000285518	9606.ENSP00000302177	0	0	0	0	0.063	0.153	0.800	0.531	0.915
AGTR2	RPS6KA6	9606.ENSP00000360973	9606.ENSP00000262752	0	0	0	0	0	0.056	0	0.399	0.408
AGTR2	GNAI1	9606.ENSP00000360973	9606.ENSP00000343027	0	0	0	0	0	0.151	0.900	0	0.911
AGTR2	SLC8A1	9606.ENSP00000360973	9606.ENSP00000384763	0	0	0	0	0.062	0	0	0.393	0.406
AGTR2	RXFP1	9606.ENSP00000360973	9606.ENSP00000405841	0	0	0	0.572	0.049	0	0	0.911	0.418
AGTR2	SOS1	9606.ENSP00000360973	9606.ENSP00000387784	0	0	0	0	0	0.056	0.900	0	0.901
AGTR2	PIK3R1	9606.ENSP00000360973	9606.ENSP00000428056	0	0	0	0	0	0.056	0.900	0.118	0.909
AHCTF1	NUP107	9606.ENSP00000355465	9606.ENSP00000229179	0	0	0	0	0.171	0.741	0.600	0.965	0.996
AHCTF1	NDC1	9606.ENSP00000355465	9606.ENSP00000360483	0	0	0	0	0.091	0	0.600	0.475	0.792
AKAP11	GSKIP	9606.ENSP00000025301	9606.ENSP00000451188	0	0	0	0	0	0	0	0.405	0.405
AKAP11	VPS13C	9606.ENSP00000025301	9606.ENSP00000261517	0	0	0	0	0.117	0	0	0.367	0.418
AKAP11	CLASP2	9606.ENSP00000025301	9606.ENSP00000417518	0	0	0	0	0.107	0	0	0.394	0.436
AKAP11	ACAP2	9606.ENSP00000025301	9606.ENSP00000324287	0	0	0	0	0.450	0	0	0	0.450
AKAP11	PRKACB	9606.ENSP00000025301	9606.ENSP00000359719	0	0	0	0	0.076	0.741	0	0.091	0.763
AKTIP	HOOK3	9606.ENSP00000378152	9606.ENSP00000305699	0	0	0	0	0	0.894	0.900	0.548	0.994
AKTIP	NAB1	9606.ENSP00000378152	9606.ENSP00000336894	0	0	0	0	0	0.426	0	0	0.426
AKTIP	HOOK1	9606.ENSP00000378152	9606.ENSP00000360252	0	0	0	0	0	0.870	0.900	0.417	0.991
ALG13	OTUD6B	9606.ENSP00000378260	9606.ENSP00000285420	0	0	0	0	0.183	0	0	0.501	0.575
ALG13	SCN1A	9606.ENSP00000378260	9606.ENSP00000303540	0	0	0	0	0	0	0	0.460	0.459
ALG13	YOD1	9606.ENSP00000378260	9606.ENSP00000326813	0	0	0	0	0.162	0	0	0.585	0.638
ALG13	RLIM	9606.ENSP00000378260	9606.ENSP00000328059	0	0	0	0	0.345	0.073	0	0.123	0.421
ALG13	SEC62	9606.ENSP00000378260	9606.ENSP00000337688	0	0	0	0	0.062	0	0	0.418	0.430
ALG13	TBC1D8B	9606.ENSP00000378260	9606.ENSP00000349781	0	0	0	0	0.286	0	0	0.264	0.452
ALG13	ZRANB1	9606.ENSP00000378260	9606.ENSP00000352676	0	0	0	0	0	0	0	0.632	0.632
ALG13	ALG6	9606.ENSP00000378260	9606.ENSP00000360149	0	0	0	0	0.062	0	0	0.826	0.830
ALG13	BRWD3	9606.ENSP00000378260	9606.ENSP00000362372	0	0	0	0	0.325	0	0	0.155	0.405
ALG13	SCN2A	9606.ENSP00000378260	9606.ENSP00000364586	0	0	0	0	0	0	0	0.457	0.457
ALG13	GABRA1	9606.ENSP00000378260	9606.ENSP00000393097	0	0	0	0	0.062	0	0	0.407	0.419
ALG13	DDX3X	9606.ENSP00000378260	9606.ENSP00000382840	0	0	0	0	0.285	0.182	0	0.187	0.483
ALG13	USP53	9606.ENSP00000378260	9606.ENSP00000409906	0	0	0	0	0.064	0	0	0.474	0.486
ALG6	CANX	9606.ENSP00000360149	9606.ENSP00000247461	0	0	0	0	0.062	0	0	0.569	0.579
ALG6	PPAT	9606.ENSP00000360149	9606.ENSP00000264220	0	0	0	0	0.065	0	0	0.410	0.424
ALG6	PGAP1	9606.ENSP00000360149	9606.ENSP00000346809	0	0	0	0	0.066	0.062	0	0.446	0.472
ALG6	MAGT1	9606.ENSP00000360149	9606.ENSP00000354649	0	0	0	0	0.086	0.248	0	0.427	0.572
ALG6	TUSC3	9606.ENSP00000360149	9606.ENSP00000424544	0	0	0	0	0.086	0.248	0	0.465	0.600
ALG6	ALG13	9606.ENSP00000360149	9606.ENSP00000378260	0	0	0	0	0.062	0	0	0.826	0.830
AMN1	SKP1	9606.ENSP00000281471	9606.ENSP00000231487	0	0	0	0	0	0.258	0	0.277	0.440
AMN1	ORC4	9606.ENSP00000281471	9606.ENSP00000441953	0	0	0	0	0.065	0	0	0.441	0.455
ANGPTL5	SEMA3D	9606.ENSP00000335255	9606.ENSP00000284136	0	0	0	0	0	0	0	0.452	0.452
ANKRD22	PDK1	9606.ENSP00000360998	9606.ENSP00000376352	0	0	0	0	0.049	0.061	0	0.451	0.468
ANKRD28	CAMK4	9606.ENSP00000382379	9606.ENSP00000282356	0	0	0	0	0.064	0.487	0	0	0.500
ANKRD28	SMIM14	9606.ENSP00000382379	9606.ENSP00000295958	0	0	0	0	0	0	0	0.450	0.450
ANKRD28	POT1	9606.ENSP00000382379	9606.ENSP00000350249	0	0	0	0	0	0	0.900	0	0.900
ANKRD28	NKIRAS1	9606.ENSP00000382379	9606.ENSP00000393785	0	0	0	0	0	0	0	0.599	0.599
ANKRD32	PIK3C3	9606.ENSP00000265140	9606.ENSP00000262039	0	0	0	0	0.065	0.341	0	0.138	0.422
ANKRD32	PIK3C2A	9606.ENSP00000265140	9606.ENSP00000265970	0	0	0	0	0.066	0.341	0	0.138	0.423
ANKRD32	LARP4	9606.ENSP00000265140	9606.ENSP00000381490	0	0	0	0	0.065	0.076	0	0.423	0.458
ANKRD32	MCMDC2	9606.ENSP00000265140	9606.ENSP00000413632	0	0	0	0	0.124	0.158	0	0.335	0.466
ANKRD32	MAD2L1	9606.ENSP00000265140	9606.ENSP00000296509	0	0	0	0	0.348	0.066	0	0.201	0.472
ANKRD32	WRN	9606.ENSP00000265140	9606.ENSP00000298139	0	0	0	0	0.185	0.148	0	0.302	0.473
ANKRD32	DNA2	9606.ENSP00000265140	9606.ENSP00000351185	0	0	0	0	0.176	0.091	0	0.444	0.547
ANKRD32	ATM	9606.ENSP00000265140	9606.ENSP00000278616	0	0	0	0	0.082	0.131	0	0.505	0.570
ANKRD32	RAD9B	9606.ENSP00000265140	9606.ENSP00000376440	0	0	0	0	0.106	0.372	0	0.332	0.592
ANKRD32	CPNE8	9606.ENSP00000265140	9606.ENSP00000329748	0	0	0	0	0.062	0	0	0.616	0.624
ANKRD32	WDHD1	9606.ENSP00000265140	9606.ENSP00000353793	0	0	0	0	0.420	0.078	0	0.430	0.668
ANO5	FKTN	9606.ENSP00000315371	9606.ENSP00000223528	0	0	0	0	0	0	0	0.612	0.612
ANTXR2	MKKS	9606.ENSP00000306185	9606.ENSP00000246062	0	0	0	0	0	0	0	0.474	0.474
AP3B1	BLOC1S6	9606.ENSP00000255194	9606.ENSP00000220531	0	0	0	0	0.062	0	0	0.751	0.757
AP3B1	SP4	9606.ENSP00000255194	9606.ENSP00000222584	0	0	0	0	0	0	0	0.439	0.439
AP3B1	CPD	9606.ENSP00000255194	9606.ENSP00000225719	0	0	0	0	0.063	0	0.900	0.085	0.906
AP3B1	RAP1B	9606.ENSP00000255194	9606.ENSP00000250559	0	0	0	0	0	0.175	0.600	0.059	0.662
AP3B1	SCRN3	9606.ENSP00000255194	9606.ENSP00000272732	0	0	0	0	0.064	0	0	0.394	0.409
AP3B1	MON2	9606.ENSP00000255194	9606.ENSP00000377250	0	0	0	0	0.108	0.058	0	0.374	0.429
AP3B1	CAPZA1	9606.ENSP00000255194	9606.ENSP00000263168	0	0	0	0	0.087	0.394	0	0.058	0.433
AP3B1	MAGT1	9606.ENSP00000255194	9606.ENSP00000354649	0	0	0	0	0.103	0.059	0	0.406	0.454
AP3B1	DGKB	9606.ENSP00000255194	9606.ENSP00000385780	0	0	0	0	0.049	0	0	0.481	0.485
AP3B1	EPS15	9606.ENSP00000255194	9606.ENSP00000360798	0	0	0	0	0.123	0.181	0.360	0.137	0.550
AP3B1	LAMP2	9606.ENSP00000255194	9606.ENSP00000408411	0	0	0	0	0.062	0	0	0.579	0.588
AP3B1	AP5M1	9606.ENSP00000255194	9606.ENSP00000261558	0	0	0	0	0.082	0.250	0.360	0.186	0.593
AP3B1	TPD52	9606.ENSP00000255194	9606.ENSP00000429309	0	0	0	0	0	0	0.600	0	0.600
AP3B1	LRRK2	9606.ENSP00000255194	9606.ENSP00000298910	0	0	0	0	0	0.498	0	0.242	0.603
AP3B1	FXR1	9606.ENSP00000255194	9606.ENSP00000350170	0	0	0	0	0	0.056	0.600	0.060	0.614
AP3B1	TBC1D8B	9606.ENSP00000255194	9606.ENSP00000349781	0	0	0	0	0.107	0	0.600	0	0.627
AP3B1	SEPT7	9606.ENSP00000255194	9606.ENSP00000381992	0	0	0	0	0.074	0.270	0	0.540	0.662
AP3B1	RAP1A	9606.ENSP00000255194	9606.ENSP00000358723	0	0	0	0	0	0.175	0.600	0.059	0.662
AP3B1	PIK3C2A	9606.ENSP00000255194	9606.ENSP00000265970	0	0	0	0	0.062	0.060	0.900	0	0.904
AP3B1	SNX2	9606.ENSP00000255194	9606.ENSP00000368831	0	0	0	0	0.108	0.073	0.900	0.147	0.920
AP5M1	AP3B1	9606.ENSP00000261558	9606.ENSP00000255194	0	0	0	0	0.082	0.250	0.360	0.186	0.593
AP5M1	EPS15	9606.ENSP00000261558	9606.ENSP00000360798	0	0	0	0	0.100	0.076	0.360	0.058	0.431
AP5M1	PDE4D	9606.ENSP00000261558	9606.ENSP00000345502	0	0	0	0	0	0	0	0.448	0.448
APBB2	ZNF280D	9606.ENSP00000427211	9606.ENSP00000267807	0	0	0	0	0	0	0	0.506	0.506
APBB2	LPHN2	9606.ENSP00000427211	9606.ENSP00000322270	0	0	0	0	0	0	0	0.459	0.459
APBB2	MKLN1	9606.ENSP00000427211	9606.ENSP00000323527	0	0	0	0	0	0	0	0.487	0.487
APBB2	SLC44A5	9606.ENSP00000427211	9606.ENSP00000359892	0	0	0	0	0	0	0	0.575	0.575
APBB2	MAPK8	9606.ENSP00000427211	9606.ENSP00000378974	0	0	0	0	0.065	0.345	0	0.140	0.428
APEH	IDE	9606.ENSP00000296456	9606.ENSP00000265986	0.077	0	0	0	0.095	0	0	0.366	0.424
APEH	PREPL	9606.ENSP00000296456	9606.ENSP00000386543	0	0	0	0	0	0.271	0	0.407	0.549
AQP4	CHL1	9606.ENSP00000372654	9606.ENSP00000256509	0	0	0	0	0.309	0	0	0.185	0.413
AQP4	SLC1A2	9606.ENSP00000372654	9606.ENSP00000278379	0	0	0	0	0.354	0	0	0.975	0.984
AQP4	GPM6A	9606.ENSP00000372654	9606.ENSP00000280187	0	0	0	0	0.550	0	0	0.048	0.553
AQP4	GABRG1	9606.ENSP00000372654	9606.ENSP00000295452	0	0	0	0	0.499	0	0	0.113	0.536
AQP4	GRIA2	9606.ENSP00000372654	9606.ENSP00000296526	0	0	0	0	0.439	0	0	0.215	0.541
AQP4	RGS7BP	9606.ENSP00000372654	9606.ENSP00000334851	0	0	0	0	0.404	0	0	0	0.404
AQP4	DLG1	9606.ENSP00000372654	9606.ENSP00000345731	0	0	0	0	0	0	0	0.711	0.712
AQP4	OCLN	9606.ENSP00000372654	9606.ENSP00000347379	0	0	0	0	0	0	0	0.607	0.607
AQP4	MAPK10	9606.ENSP00000372654	9606.ENSP00000352157	0	0	0	0	0.278	0	0	0.491	0.616
AQP4	MUSK	9606.ENSP00000372654	9606.ENSP00000363571	0	0	0	0	0.066	0.056	0	0.408	0.432
AQP4	GABRA1	9606.ENSP00000372654	9606.ENSP00000393097	0	0	0	0	0.349	0	0	0.135	0.413
AQP4	CADM2	9606.ENSP00000372654	9606.ENSP00000384193	0	0	0	0	0.400	0	0	0.068	0.416
AQP4	SLC4A4	9606.ENSP00000372654	9606.ENSP00000393557	0	0	0	0	0.230	0	0	0.325	0.458
AQP4	GK	9606.ENSP00000372654	9606.ENSP00000401720	0.048	0	0	0	0.168	0	0	0.375	0.462
AQP4	CNTN1	9606.ENSP00000372654	9606.ENSP00000447006	0	0	0	0	0.347	0	0	0.270	0.503
AQP4	KCNJ16	9606.ENSP00000372654	9606.ENSP00000465295	0	0	0	0	0.252	0	0	0.519	0.624
AQR	NCBP1	9606.ENSP00000156471	9606.ENSP00000364289	0	0	0	0	0.328	0	0	0.228	0.460
AQR	MNAT1	9606.ENSP00000156471	9606.ENSP00000261245	0	0	0	0	0.072	0	0.600	0	0.612
AQR	GTF2H2	9606.ENSP00000156471	9606.ENSP00000328901	0	0	0	0	0.071	0	0.600	0.244	0.694
AQR	SNRPB2	9606.ENSP00000156471	9606.ENSP00000246071	0	0	0	0	0.075	0.864	0.900	0	0.986
ARHGAP11A	RAD51AP1	9606.ENSP00000355090	9606.ENSP00000228843	0	0	0	0	0.597	0	0	0	0.597
ARHGAP11A	KIAA1524	9606.ENSP00000355090	9606.ENSP00000295746	0	0	0	0	0.356	0	0	0.125	0.413
ARHGAP11A	MAD2L1	9606.ENSP00000355090	9606.ENSP00000296509	0	0	0	0	0.636	0	0	0.185	0.691
ARHGAP11A	ZWILCH	9606.ENSP00000355090	9606.ENSP00000311429	0	0	0	0	0.409	0	0	0.160	0.482
ARHGAP11A	WDHD1	9606.ENSP00000355090	9606.ENSP00000353793	0	0	0	0	0.561	0	0	0	0.561
ARHGAP11A	DEPDC1	9606.ENSP00000355090	9606.ENSP00000412292	0	0	0	0	0.904	0	0	0.367	0.937
ARHGAP12	RANBP6	9606.ENSP00000345808	9606.ENSP00000259569	0	0	0	0	0.077	0	0	0.403	0.426
ARHGAP12	DCUN1D5	9606.ENSP00000345808	9606.ENSP00000260247	0	0	0	0	0	0	0	0.644	0.644
ARHGAP12	PHF3	9606.ENSP00000345808	9606.ENSP00000262043	0	0	0	0	0.113	0	0	0.692	0.715
ARHGAP12	VEZT	9606.ENSP00000345808	9606.ENSP00000410083	0	0	0	0	0.099	0	0	0.440	0.474
ARHGAP12	AEBP2	9606.ENSP00000345808	9606.ENSP00000381840	0	0	0	0	0	0.062	0	0.513	0.523
ARHGAP12	GNA13	9606.ENSP00000345808	9606.ENSP00000400717	0	0	0	0	0.065	0.114	0	0.477	0.529
ARHGAP12	ERBB2IP	9606.ENSP00000345808	9606.ENSP00000426632	0	0	0	0	0.125	0	0	0.488	0.533
ARHGAP28	ARHGAP29	9606.ENSP00000392660	9606.ENSP00000260526	0	0	0	0	0.062	0.139	0	0.493	0.555
ARHGAP28	AGPAT5	9606.ENSP00000392660	9606.ENSP00000285518	0	0	0	0	0	0	0	0.568	0.568
ARHGAP28	CSRNP3	9606.ENSP00000392660	9606.ENSP00000318258	0	0	0	0	0	0	0	0.437	0.437
ARHGAP28	PREPL	9606.ENSP00000392660	9606.ENSP00000386543	0	0	0	0	0	0	0	0.564	0.564
ARHGAP29	RAP1B	9606.ENSP00000260526	9606.ENSP00000250559	0	0	0	0	0	0.156	0	0.322	0.403
ARHGAP29	PI15	9606.ENSP00000260526	9606.ENSP00000260113	0	0	0	0	0.062	0	0	0.424	0.437
ARHGAP29	RAP1A	9606.ENSP00000260526	9606.ENSP00000358723	0	0	0	0	0	0.156	0	0.332	0.412
ARHGAP29	ARHGAP28	9606.ENSP00000260526	9606.ENSP00000392660	0	0	0	0	0.062	0.139	0	0.493	0.555
ARHGAP5	RASA1	9606.ENSP00000371897	9606.ENSP00000274376	0	0	0	0	0.065	0.213	0	0.663	0.730
ARHGAP5	PPIP5K2	9606.ENSP00000371897	9606.ENSP00000482907	0	0	0	0	0	0	0	0.447	0.447
ARHGAP5	TMEM161B	9606.ENSP00000371897	9606.ENSP00000426354	0	0	0	0	0.063	0	0	0.437	0.450
